product,price,category,link,image,description
IKO Trade Top Sheet Green 10 x 1m,£49.86,Roofing Felt,https://ehsmith.co.uk/product/iko-trade-top-sheet-green-10-x-1m/,https://ehsmith.co.uk/wp-content/uploads/00007790-1-600x600.jpg,Manufacturer Code: 56060000
IKO Undertile Felt 1F 15 x 1m,£38.64,Roofing Felt,https://ehsmith.co.uk/product/iko-undertile-felt-1f-15-x-1m/,https://ehsmith.co.uk/wp-content/uploads/00007783-1-600x600.jpg,Manufacturer Code: 56150000
Damp Course Slate 16 x 10″,£159.00,DPC,https://ehsmith.co.uk/product/damp-course-slate-16-x-10/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00063019-600x600.jpg,An alternative to plastic DPC
DPC (BBA) Polythene 100mm x 30m 500mu,£4.14,DPC,https://ehsmith.co.uk/product/dpc-bba-polythene-100mm-x-30m-500mu/,https://ehsmith.co.uk/wp-content/uploads/00061293-1-600x600.jpg,Manufacturer Code: RS052158
DPC (BBA) Polythene 150mm x 30m 500mu,£6.06,DPC,https://ehsmith.co.uk/product/dpc-bba-polythene-150mm-x-30m-500mu/,https://ehsmith.co.uk/wp-content/uploads/00061295-1-600x600.jpg,Manufacturer Code: RS052160
DPC (BBA) Polythene 225mm x 30m 500mu,£8.82,DPC,https://ehsmith.co.uk/product/dpc-bba-polythene-225mm-x-30m-500mu/,https://ehsmith.co.uk/wp-content/uploads/00061296-1-600x600.jpg,Manufacturer Code: RS052161
DPC (BBA) Polythene 600mm x 30m 500mu,£22.20,DPC,https://ehsmith.co.uk/product/dpc-bba-polythene-600mm-x-30m-500mu/,https://ehsmith.co.uk/wp-content/uploads/00061300-1-600x600.jpg,Manufacturer Code: RS052165
DPC (BBA) Polythene 450mm x 30m 500mu,£16.92,DPC,https://ehsmith.co.uk/product/dpc-polythene-450mm-x-30m-500mu/,https://ehsmith.co.uk/wp-content/uploads/00061299-1-600x600.jpg,Manufacturer Code: RS052164
IKO DPC 450mm Hyload Original,£87.24,DPC,https://ehsmith.co.uk/product/iko-tgx-torch-on-cap-sheet-dpc-450mm-hyload-original/,https://ehsmith.co.uk/wp-content/uploads/00007985-1-600x600.jpg,Manufacturer Code: 31545000
Polythene DPM Handypack 250mu Blue 4 x 5m,£24.42,DPM,https://ehsmith.co.uk/product/250mu-blue-bba-polythene-dpm-handypack-4-x-5m/,https://ehsmith.co.uk/wp-content/uploads/2022/05/00061323-600x600.jpg,BBA certified
