product,price,category,link,image
Cell Seed Tray Inserts,£4.00,Lawn & Plant Care Deals,https://www.homebase.co.uk/cell-seed-tray-inserts/12813080.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12813080-8164955477340108.jpg
Homebase Peat Free Shrub Rose Tree Compost - 50L,£9.00,Lawn & Plant Care Deals,https://www.homebase.co.uk/homebase-peat-free-shrub-rose-tree-compost-50l/13280765.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/13280765-7074926296734731.jpg
New Horizon Peat Free Tomato Planter Medium - 35L,£8.00,Lawn & Plant Care Deals,https://www.homebase.co.uk/new-horizon-peat-free-tomato-planter-medium-35l/12890133.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12890133-4034905996400599.jpg
Westland Ericaceous Planting & Potting Mix - 50L,£9.00,Lawn & Plant Care Deals,https://www.homebase.co.uk/westland-ericaceous-planting-potting-mix-50l/13280773.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/13280773-5104927596997935.jpg
Homebase Peat Free Container & Basket Compost - 50L,£9.00,Lawn & Plant Care Deals,https://www.homebase.co.uk/homebase-peat-free-container-basket-compost-50l/13280767.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/13280767-3344926296357103.jpg
Westland Top Soil,£5.00,Lawn & Plant Care Deals,https://www.homebase.co.uk/westland-top-soil/13280768.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/13280768-1394971590626257.jpg
New Horizon Peat Free All Plant Compost - 50L,£9.00,Lawn & Plant Care Deals,https://www.homebase.co.uk/new-horizon-peat-free-all-plant-compost-50l/12886069.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12886069-5024871078994015.jpg
New Horizon Peat Free All Veg Compost - 50L,£9.00,Lawn & Plant Care Deals,https://www.homebase.co.uk/new-horizon-peat-free-all-veg-compost-50l/12823481.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12823481-7714869971285502.jpg
Westland Gardener's Multi-Purpose Compost,£9.00,Lawn & Plant Care Deals,https://www.homebase.co.uk/westland-gardener-s-multi-purpose-compost/13280771.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/13280771-1474954736891751.jpg
Tomorite® Peat Free Organic Planter,£8.00,Lawn & Plant Care Deals,https://www.homebase.co.uk/tomorite-peat-free-organic-planter/13308211.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/13308211-2054922626199598.jpg
